"nr","cod_lmi","cod_lmi_jud","cod_lmi_nat","cod_lmi_grupa","cod_lmi_val","cod_lmi_num","SIRUTA_judet","judet","SIRUTA_UAT","rang","UAT","SIRUTA","localitate","denumire","latitudine_y","longitudine_x","cota","adresa","observatii_adresa","cod_postal","strada_nume","strada_numar","tip_patrimoniu","program_arhitectura","tip_monument","datare","fotografiat","existent","constructie_noua","stare_generala","observatii","observatii_cc"
984,"CJ-II-m-A-07241.01","CJ","II","m","A",7241.01,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Turn și fragment din zidul primei incinte a orașului medieval",46.771098,23.589165,347,"Piața Unirii 25 și str.Toplița 10",,400113,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare",1376,,,,"-","Inaccesibil.",
747,"CJ-II-m-A-07241.02","CJ","II","m","A",7241.02,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul roman suprapus de zidul primei incinte medievale",46.771876,23.585742,343,"Str. Barițiu George 25",,400027,,,"Patrimoniu reprezentativ",,"Zid","sec. XIII - XVI",,,,"-","Inaccesibil.",
938,"CJ-II-m-A-07241.03","CJ","II","m","A",7241.03,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval",46.770793,23.587515,347,"Str. Petroșani 1-3",,400022,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid","sec. XIII",,,,"Stare medie","Str. Virgil Fulicea 1-3.",
940,"CJ-II-m-A-07241.04","CJ","II","m","A",7241.04,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval",46.770017,23.585481,349,"Str. Petroșani 21-23",,400022,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid","sec. XIII",,,,"Stare bună","Str. Virgil Fulicea 21-23.",
849,"CJ-II-m-A-07241.05","CJ","II","m","A",7241.05,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval",46.770542,23.585385,347,"Str. Isac Emil 10 și str. Pavel Chinezu 5, în curtea Liceului G. Barițiu",,400023,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid","sec. XIII -XV",,,,"Stare medie",,
779,"CJ-II-m-A-07241.06","CJ","II","m","A",7241.06,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul primei incinte a orașului medieval",46.772215,23.588387,347,"Str. Deleu 2-4, Str. Doja Gheorghe 17-25",,400112,,,"Patrimoniu reprezentativ",,"Zid","sec. XIII -XV",,,,"Stare medie","Str. Deleu 2-4, Strada Regele Ferdinand 17-25",
838,"CJ-II-m-A-07242.01","CJ","II","m","A",7242.01,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Bastionul Postăvarilor",46.76665,23.589349,353,"Str. Iancu Avram 9",,400089,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV",,,,"Stare medie",,
840,"CJ-II-m-A-07242.02","CJ","II","m","A",7242.02,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Bastionul Cizmarilor",46.766646,23.590748,354,"Str. Iancu Avram 13",,400083,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV",,,,"Stare medie","Construcție asemănătoare cu un turn lipită alte clădiri. Posibil Bastionul Cizmarilor.",
955,"CJ-II-m-A-07242.03","CJ","II","m","A",7242.03,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Turnul Pompierilor",46.773388,23.590913,341,"Str. Tipografiei 17",,400101,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","1405, partea superioară sec. XIX",,,,"Stare medie","În curs de restaurare.",
843,"CJ-II-m-A-07242.04","CJ","II","m","A",7242.04,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Turnul Zidarilor și fragment din zidul celei de a doua incinte a orașului medieval",46.766674,23.591996,352,"Str. Iancu Avram 17",,400083,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV",,,,"-","Inaccesibil.",
942,"CJ-II-m-A-07242.05","CJ","II","m","A",7242.05,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul celei de a doua incinte a orașului medieval",46.766639,23.589228,353,"Str. Potaissa 1-3",,400090,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)",,"sec. XV",,,,"Stare medie",,
743,"CJ-II-m-A-07242.06","CJ","II","m","A",7242.06,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fragment din zidul celei de a doua incinte a orașului medieval",46.770968,23.595806,346,"Str. Baba Novac 15",,400080,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Zid",1406,,,,"-","Posibil înglobat în construcție. Piatră inscripționată vizibilă la casa de la nr. 15.",
744,"CJ-II-m-A-07271","CJ","II","m","A",7271,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Bastionul Bethlen (fost Turnul Croitorilor)",46.768054,23.597476,345,"Str. Baba Novac 35",,400080,,,"Patrimoniu reprezentativ","Clădiri cu caracter militar (fortificații, cetăți etc.)","Turn de apărare","sec. XV-XVII, ref.sec. XIX",,,,"Stare foarte bună",,
759,"CJ-II-m-A-07285","CJ","II","m","A",7285,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Tholdalagy-Korda, azi Universitatea ""Babeș-Bolyai"" -administrația tehnică",46.768693,23.593652,348,"Str. Brătianu I.C. 14",,400079,,,"Patrimoniu reprezentativ","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XIX",,,,"Stare medie",,
764,"CJ-II-m-A-07290","CJ","II","m","A",7290,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Aurarului",46.768843,23.593491,347,"Str. Brătianu I.C. 27",,400079,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVIII",,,,"Stare medie",,
778,"CJ-II-m-A-07304","CJ","II","m","A",7304,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica ""Nașterea Maicii Domnului""",46.785305,23.653034,321,"Str. Dârjan Traian 8",,400402,,,"Patrimoniu religios","Clădire de cult","Biserică",1750,,,,"Stare bună","Alterată major prin intervenții.",
781,"CJ-II-m-A-07305.01","CJ","II","m","A",7305.01,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica franciscană",46.772003,23.587812,346,"Str. Deleu 2-4",,400112,,,"Patrimoniu religios","Clădire de cult","Biserică","sec. XV-XVIII",,,,"Stare medie",,
815,"CJ-II-m-A-07338","CJ","II","m","A",7338,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa mică Banffy",46.769999,23.594732,345,"Bd. Eroilor 32",,400129,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare bună",,
832,"CJ-II-m-A-07355","CJ","II","m","A",7355,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Teatrul Național",46.770195,23.59744,347,"Piața Iancu Avram 2",,400098,,,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"1904 -1906",,,,"Stare bună",,
852,"CJ-II-m-A-07371","CJ","II","m","A",7371,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Liceul ""Báthory"", fost liceu al Piariștilor",46.767207,23.59144,354,"Str. Kogălniceanu Mihail 2 și str. Universității 7-9",,400084,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"1817-1821",,,,"Stare medie",,
856,"CJ-II-m-A-07375","CJ","II","m","A",7375,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Teleki",46.76793,23.593479,348,"Str. Kogălniceanu Mihail 7",,400084,,,"Patrimoniu reprezentativ","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1795",,,,"Stare medie","În curs de restaurare.",
860,"CJ-II-m-A-07378.01","CJ","II","m","A",7378.01,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.768125,23.594521,348,"Str. Kogălniceanu Mihail 13",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802",,,,"Stare medie",,
862,"CJ-II-m-A-07378.02","CJ","II","m","A",7378.02,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.768158,23.594708,348,"Str. Kogălniceanu Mihail 15",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802",,,,"Stare medie",,
864,"CJ-II-m-A-07378.03","CJ","II","m","A",7378.03,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.768193,23.594861,348,"Str. Kogălniceanu Mihail 17",,400084,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1790 -1802",,,,"Stare medie",,
863,"CJ-II-m-A-07380","CJ","II","m","A",7380,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica reformată Matia",46.768132,23.595592,347,"Str. Kogălniceanu Mihail 16",,400084,,,"Patrimoniu religios","Clădire de cult","Biserică","1486 -1494, ref.1644",,,,"Stare medie",,
876,"CJ-II-m-A-07388","CJ","II","m","A",7388,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa universitarilor, azi Colegiul academic",46.76785,23.592546,351,"Str. ""Emmanuel de Martonne"" 1 și str. Brătianu I.C. 4",,400090,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"1928 - 1936",,,,"Stare bună",,
881,"CJ-II-m-A-07393","CJ","II","m","A",7393,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Matia, azi Academia de Arte Vizuale ""Ion Andreescu""",46.771082,23.587482,346,"Str. Matei Corvin 6",,400112,,,"Patrimoniu reprezentativ","Clădire pentru turism","Han","sec. XV-XVIII",,,,"Stare foarte bună","În curs de restaurare. Interior inaccesibil.",
884,"CJ-II-m-A-07396","CJ","II","m","A",7396,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica Mănăștur - Calvaria",46.761264,23.557954,359,"Str. Mănășturului 12",,400372,,,"Patrimoniu religios","Clădire de cult","Biserică","sec. XIII - XIX",,,,"Stare bună","Aleea Grădini Mănăștur.",
948,"CJ-II-m-A-07458","CJ","II","m","A",7458,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Tătaru",46.775612,23.570297,385,"Str. Rosetti 17",,400306,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă",1929,,,,"Stare medie","În curs de restaurare.",
960,"CJ-II-m-A-07469","CJ","II","m","A",7469,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica romano-catolică ""Sf. Mihail""",46.769993,23.589526,347,"Piața Unirii 0",,400133,,,"Patrimoniu religios","Clădire de cult","Biserică","1349 -1480",,,,"Stare medie","În curs de restaurare.",
988,"CJ-II-m-A-07497","CJ","II","m","A",7497,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Palatul Banffy, azi Muzeul de Artă",46.7706,23.590386,348,"Piața Unirii 30",,400098,,,"Patrimoniu reprezentativ","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","1774 -1785",,,,"Stare medie","În curs de restaurare.",
989,"CJ-II-m-A-07498","CJ","II","m","A",7498,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casa Wolphard Kakas, azi Universitatea de Arte Vizuale ""Ion Andreescu"" și banca ""Société Générale""",46.769776,23.590853,349,"Piața Unirii 31",,400098,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare medie",,
990,"CJ-II-m-A-07499","CJ","II","m","A",7499,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica Piariștilor, azi biserica romano-catolică ""Sf. Treime""",46.767894,23.590477,353,"Str. Universității 5",,400091,,,"Patrimoniu religios","Clădire de cult","Biserică","1718 -1724",,,,"Stare bună",,
799,"CJ-II-a-B-07324","CJ","II","a","B",7324,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Mănăstirea minoriților",46.769255,23.592526,347,"Bd. Eroilor 8-10",,400129,,,"Patrimoniu religios","Clădire de cult","Mănăstire","sec. XVI - XIX",,,,"Stare bună",,
716,"CJ-II-a-B-07415","CJ","II","a","B",7415,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Ansamblul urban ""Piața Mihai Viteazul""",46.7745771,23.5878778,,"Zona delimitată de: limita vestică a parcelei din piața Mihai Viteazul nr.1, str. Doja nr.38 până la Someș , cheiul drept sudic al râului Someș, de la podul Gh. Doja până la str. Iașilor nr. 16 , str. Iașilor frontul sudic (identic cu piața Mihai Viteazul nr.1)",,,,,"Patrimoniu reprezentativ",,,"sec. XVIII-XIX",,,,"Stare medie",,
945,"CJ-II-a-B-07455","CJ","II","a","B",7455,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Grădina Botanică",46.761963,23.588785,392,"Str. Republicii 42",,400015,,,"Patrimoniu reprezentativ","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,1920,,,,"Stare bună",,
951,"CJ-II-a-B-07461","CJ","II","a","B",7461,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Secția în aer liber a Muzeului Etnografic al Transilvaniei",46.777136,23.560323,385,"Str. Tăietura Turcului, Dealul Hoia",,400285,,,"Patrimoniu reprezentativ","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,,,,,"-","Inaccesibil. (la momentul vizitei era închis, deși conform orarului trebuia să fie deschis)",
710,"CJ-II-m-B-07243.01","CJ","II","m","B",7243.01,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Ateliere pictură (fostă expoziție)",46.770401,23.578802,346,"Parcul Central",,400376,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,1940,,,,"Stare medie",,
711,"CJ-II-m-B-07243.02","CJ","II","m","B",7243.02,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Fântână arteziană",46.768784,23.577183,344,"Parcul Central",,400376,,,"Patrimoniu reprezentativ","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,1897,,,,"Stare bună",,
712,"CJ-II-m-B-07243.03","CJ","II","m","B",7243.03,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Chioșc fanfară",46.768738,23.576692,344,"Parcul Central",,400376,,,"Patrimoniu reprezentativ","Amenajare peisajeră-agrement (parc, grădină, scuar ș.a.)",,1897,,,,"Stare bună",,
713,"CJ-II-m-B-07243.04","CJ","II","m","B",7243.04,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Pavilionul de patinaj",46.7681,23.575969,343,"Parcul Central",,400376,,,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,1897,,,,"Stare bună","Se referă la clădirea ”Chios”.",
714,"CJ-II-m-B-07243.05","CJ","II","m","B",7243.05,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Kiosk",46.768917,23.577868,344,"Parcul Central",,400376,,,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,1897,,,,"Stare foarte bună","Se referă la clădirea ”Casino”.",
741,"CJ-II-m-B-07245","CJ","II","m","B",7245,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Biserica romano-catolică ""Sf. Petru""",46.776756,23.607309,336,"Bd. 21 Decembrie 1989 136 -138",,400604,,,"Patrimoniu religios","Clădire de cult","Biserică","sec. XIV-XIX",,,,"Stare bună",,
718,"CJ-II-m-B-07246","CJ","II","m","B",7246,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Hotel Melody",46.770863,23.590179,347,"Bd. 21 Decembrie 1989 2 și Piața Unirii nr.29",,400094,,,"Patrimoniu reprezentativ","Clădire cu alte funcțiuni",,"sec. XVI - XIX",,,,"Stare medie",,
719,"CJ-II-m-B-07247","CJ","II","m","B",7247,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.77142,23.590832,346,"Bd. 21 Decembrie 1989 3",,400105,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XV - XVI",,,,"Stare medie",,
720,"CJ-II-m-B-07248","CJ","II","m","B",7248,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Casă",46.771053,23.590677,347,"Bd. 21 Decembrie 1989 4",,400094,,,"Patrimoniu domestic urban","Clădire de locuit (unifamilială, colectivă ș.a.)","Locuire civilă","sec. XVI - XIX",,,,"Stare medie",,
721,"CJ-II-m-B-07249","CJ","II","m","B",7249,127,"CLUJ",54975,"municipiu","CLUJ-NAPOCA",54984,"CLUJ-NAPOCA","Colegiul unitarian, azi Liceul sanitar",46.771675,23.591463,345,"Bd. 21 Decembrie 1989 7",,400105,,,"Patrimoniu reprezentativ","Clădire pentru învățământ",,"sec. XVIII-XIX",,,,"Stare medie","Se referă la Liceul Teoretic Brassai Sámuel.",
